#hashtags;application-site
Egnyte-upload;application-site
egp;service-other
Egypt Classification Terms;CpmiWordsDataType
eHarmony;application-site
EKE Desktop RSS Reader;application-site
Eklogin;application-site
El Salvador Classification Terms;CpmiWordsDataType
El Universal-video;application-site
Elasticsearch;application-site
ELCOM 90 protocol;application-site
ElectroCity;application-site
Elephant Drive;application-site
Elf Island;application-site
Elftown;application-site
Elipse E3;application-site
Elitebits.org;application-site
Ello;application-site
Elluminate;application-site
Elong;application-site
Eloops;application-site
Eluma;application-site
Email;application-site-category
Email;application-site-category
Email Address;CpmiPatternDataType
Email Address Typosquatting;CpmiNcodeDataType
Email Addresses - 20 or more;CpmiCompoundDataType
Email Attachment;CpmiNcodeDataType
Email Body;CpmiNcodeDataType
Email File;CpmiFileDataType
Email Headers;CpmiNcodeDataType
Email Subject;CpmiNcodeDataType
Email with Many Attachments;CpmiMessageAttributesDataType
Email with Mixed Business Partners;CpmiNcodeDataType
Email with Mixed Customers;CpmiNcodeDataType
Email with Mixed Suppliers;CpmiNcodeDataType
EmailLargeFile;application-site
EmailSiphon;application-site
EmailSmartz;application-site
EmailSpider;application-site
eMaps;application-site
EMC AlphaStor;application-site
EMC AutoStart;application-site
EMC Avamar;application-site
EMC Data Protector Advisor;application-site
EMC NetWorker;application-site
EMC RepliStor;application-site
EMC Retrospect;application-site
EMCO Remote Console;application-site
Emerald Island;application-site
Emerging Magazine Live;application-site
emokoo;application-site
Empire of Sports;application-site
Employee Email Addresses;CpmiPatternDataType
Employee Names;CpmiDictionaryDataType
EmployeeSuggestionBox.com;application-site
EmployWise-upload;application-site
Empressr;application-site
eMule;application-site
emuqim;application-site
EnaBot;application-site
Enchant;application-site
Encrypted Archive;CpmiCompoundDataType
Encrypts communications;application-site-category
EndNote;application-site
endo;application-site
EndPointMapper;service-dce-rpc
Energy-torrent.com;application-site
EngineYard;application-site
Enjin;application-site
Enterprise Datawarehouse;application-site
Enterra Download Manager;application-site
Entertainment;application-site-category
Entertainment;application-site-category
EnterUpload Uploader;application-site
Entropia Universe;application-site
Entrust-Admin;service-tcp
Entrust-CA;service-group
Entrust-KeyMgmt;service-tcp
Envolk;application-site
Eons;application-site
Epic Browser;application-site
Epicurious;application-site
Epicurious-chat;application-site
Epicurious-video;application-site
ePigeon Instant Messenger;application-site
Epiphany;application-site
eRepublik;application-site
Ericom AccessNow;application-site
Ericom Connect;application-site
EroCrawler;application-site
ESChat;application-site
ESET Remote Administrator;application-site
ESET smart security-update;application-site
eSnips;application-site
eSobi;application-site
ESP;service-other
EsperanzaBot;application-site
eSPIN;application-site
ESPN Player;application-site
ESPN Player-streaming;application-site
ESPN SportsCenter;application-site
ESRI Arc Geodatabase;CpmiGroupDataType
Estonia Classification Terms;CpmiWordsDataType
Estonia IBAN;CpmiPatternDataType
Estonia Personal Identity Code;CpmiPatternDataType
Estonia VAT Number;CpmiPatternDataType
eSyndiCat Bot;application-site
Ether S Bus Protocol;application-site
Ether S Bus Protocol - All cycles;application-site
Ether S Bus Protocol - Change block;application-site
Ether S Bus Protocol - Changes blocks on run;application-site
Ether S Bus Protocol - Clear all (F, O, R, T);application-site
Ether S Bus Protocol - Clear data block;application-site
Ether S Bus Protocol - Clear flags;application-site
Ether S Bus Protocol - Clear history failure;application-site
Ether S Bus Protocol - Clear outputs;application-site
Ether S Bus Protocol - Clear registers;application-site
Ether S Bus Protocol - Clear text;application-site
Ether S Bus Protocol - Clear timers;application-site
Ether S Bus Protocol - Delete program line;application-site
Ether S Bus Protocol - Download FW;application-site
Ether S Bus Protocol - Erase flash;application-site
Ether S Bus Protocol - Execute single instruction;application-site
Ether S Bus Protocol - Find history;application-site
Ether S Bus Protocol - Flashcard telegram;application-site
Ether S Bus Protocol - Get diagnostic;application-site
Ether S Bus Protocol - Go conditional;application-site
Ether S Bus Protocol - Insert program line;application-site
Ether S Bus Protocol - Local cycles;application-site
Ether S Bus Protocol - Make data block;application-site
Ether S Bus Protocol - Make text;application-site
Ether S Bus Protocol - Read active transition;application-site
Ether S Bus Protocol - Read arithmetic status and ACCU;application-site
Ether S Bus Protocol - Read block address;application-site
Ether S Bus Protocol - Read block sizes;application-site
Ether S Bus Protocol - Read byte;application-site
Ether S Bus Protocol - Read call stack;application-site
Ether S Bus Protocol - Read counter(s);application-site
Ether S Bus Protocol - Read current block;application-site
Ether S Bus Protocol - Read data block;application-site
Ether S Bus Protocol - Read DBX;application-site
Ether S Bus Protocol - Read display register;application-site
Ether S Bus Protocol - Read firmware version;application-site
Ether S Bus Protocol - Read flag(s);application-site
Ether S Bus Protocol - Read halt failure register;application-site
Ether S Bus Protocol - Read hangup timeout;application-site
Ether S Bus Protocol - Read index register;application-site
Ether S Bus Protocol - Read input(s);application-site
Ether S Bus Protocol - Read instruction pointer;application-site
Ether S Bus Protocol - Read output(s);application-site
Ether S Bus Protocol - Read PCD status (own);application-site
Ether S Bus Protocol - Read PCD status CPU 0;application-site
Ether S Bus Protocol - Read PCD status CPU 1;application-site
Ether S Bus Protocol - Read PCD status CPU 2;application-site
Ether S Bus Protocol - Read PCD status CPU 3;application-site
Ether S Bus Protocol - Read PCD status CPU 4;application-site
Ether S Bus Protocol - Read PCD status CPU 5;application-site
Ether S Bus Protocol - Read PCD status CPU 6;application-site
Ether S Bus Protocol - Read program line;application-site
Ether S Bus Protocol - Read real time clock;application-site
Ether S Bus Protocol - Read register(s);application-site
Ether S Bus Protocol - Read S Bus station number;application-site
Ether S Bus Protocol - Read system buffer;application-site
Ether S Bus Protocol - Read system information;application-site
Ether S Bus Protocol - Read text;application-site
Ether S Bus Protocol - Read timer(s);application-site
Ether S Bus Protocol - Read user EEPROM register;application-site
Ether S Bus Protocol - Read user memory;application-site
Ether S Bus Protocol - Read/write block data;application-site
Ether S Bus Protocol - Restart cold all CPUs;application-site
Ether S Bus Protocol - Restart cold CPU 0;application-site
Ether S Bus Protocol - Restart cold CPU 1;application-site
Ether S Bus Protocol - Restart cold CPU 2;application-site
Ether S Bus Protocol - Restart cold CPU 3;application-site
Ether S Bus Protocol - Restart cold CPU 4;application-site
Ether S Bus Protocol - Restart cold CPU 5;application-site
Ether S Bus Protocol - Restart cold CPU 6;application-site
Ether S Bus Protocol - Restart cold flag;application-site
Ether S Bus Protocol - Restart cold own CPU;application-site
Ether S Bus Protocol - Restart warm All CPUs;application-site
Ether S Bus Protocol - Restart warm CPU 1;application-site
Ether S Bus Protocol - Restart warm CPU 2;application-site
Ether S Bus Protocol - Restart warm CPU 3;application-site
Ether S Bus Protocol - Restart warm CPU 4;application-site
Ether S Bus Protocol - Restart warm CPU 5;application-site
Ether S Bus Protocol - Restart warm CPU 6;application-site
Ether S Bus Protocol - Restart warm own CPU;application-site
Ether S Bus Protocol - Run procedure all CPUs;application-site
Ether S Bus Protocol - Run procedure CPU 0;application-site
Ether S Bus Protocol - Run procedure CPU 1;application-site
Ether S Bus Protocol - Run procedure CPU 2;application-site
Ether S Bus Protocol - Run procedure CPU 3;application-site
Ether S Bus Protocol - Run procedure CPU 4;application-site
Ether S Bus Protocol - Run procedure CPU 5;application-site
Ether S Bus Protocol - Run procedure CPU 6;application-site
Ether S Bus Protocol - Run procedure own CPU;application-site
Ether S Bus Protocol - Single step;application-site
Ether S Bus Protocol - Stop procedure All CPUs;application-site
Ether S Bus Protocol - Stop procedure CPU 0;application-site
Ether S Bus Protocol - Stop procedure CPU 1;application-site
Ether S Bus Protocol - Stop procedure CPU 2;application-site
Ether S Bus Protocol - Stop procedure CPU 3;application-site
Ether S Bus Protocol - Stop procedure CPU 4;application-site
Ether S Bus Protocol - Stop procedure CPU 5;application-site
Ether S Bus Protocol - Stop procedure CPU 6;application-site
Ether S Bus Protocol - Stop procedure own CPU;application-site
Ether S Bus Protocol - Web server serial communication;application-site
Ether S Bus Protocol - Write arithmetic status and ACCU;application-site
Ether S Bus Protocol - Write byte;application-site
Ether S Bus Protocol - Write counter(s);application-site
Ether S Bus Protocol - Write data block;application-site
Ether S Bus Protocol - Write flag(s);application-site
Ether S Bus Protocol - Write index register;application-site
Ether S Bus Protocol - Write instruction pointer;application-site
Ether S Bus Protocol - Write output(s);application-site
Ether S Bus Protocol - Write program line;application-site
Ether S Bus Protocol - Write real time clock;application-site
Ether S Bus Protocol - Write register(s);application-site
Ether S Bus Protocol - Write system buffer;application-site
Ether S Bus Protocol - Write text;application-site
Ether S Bus Protocol - Write timer(s);application-site
Ether S Bus Protocol - Write user EEPROM register;application-site
Ether S Bus Protocol - Write user memory;application-site
Ether S Bus Protocol - XOB 17 interrupt;application-site
Ether S Bus Protocol - XOB 18 interrupt;application-site
Ether S Bus Protocol - XOB 19 interrupt;application-site
Ether S I/O Protocol;application-site
EtherCat;application-site
Ethereum Wallet;application-site
Ethernet Global Data - Producer/Consumer;application-site
Ethernet POWERLINK;application-site
EtherNet/IP;application-site
EtherNet/IP - List Identity;application-site
EtherNet/IP - List Interfaces;application-site
EtherNet/IP - List Services;application-site
EtherNet/IP - Nop;application-site
EtherNet/IP - Register Session;application-site
EtherNet/IP - Unregister Session;application-site
EtherPad;application-site
Ethiopia Classification Terms;CpmiWordsDataType
Etsy;application-site
EU Data Protection Directive;CpmiGroupDataType
EU VAT Numbers;CpmiGroupDataType
Eucalyptus Community Cloud;application-site
EuripBot;application-site
Euro Banknote Serial Number;CpmiPatternDataType
Eurobot;application-site
EuroCircle.com;application-site
Europa Casino;application-site
Eurosport Player;application-site
EVault;application-site
EVE Online;application-site
EventBox;application-site
Eventbrite;application-site
Evercontact;application-site
Evermotion Communicator;application-site
Evernote;application-site
Evernote-download;application-site
Evernote-editing;application-site
Evernote-posting;application-site
Evernote-sharing;application-site
Evernote-upload;application-site
Every_Day;time
Everywhere;application-site
Evilshare;application-site
Evite;application-site
Evony;application-site
Evri;application-site
EWS Protocol;application-site
Exabot;application-site
ExaVault;application-site
Excalibur Internet Spider;application-site
Exchange Admin Center;application-site
Exchange Mailbox Log Seeder;application-site
Excite Search Bar;application-site
exec;service-tcp
ExecTweets;application-site
Executable File;CpmiFileDataType
eXo Platform;application-site
eXo Platform-download;application-site
eXo Platform-upload;application-site
exooba crawler;application-site
Exosee;application-site
Expandrive;application-site
Experience Project;application-site
Exploroo;application-site
Expono;application-site
ExpressVPN;application-site
Extensible Markup File;CpmiNcodeDataType
Exterior Gateway Protocol;application-site
External Recipient and Internal Users;CpmiUnintentionalRecipientDataType
External Recipient in BCC;CpmiExternalBccDataType
External Recipients of Different Domains;CpmiNcodeDataType
ExternalZone;security-zone
extrapounds;application-site
ExtraSMS;application-site
Extreme Picture Finder;application-site
extremebits.org;application-site
Extremenova.org;application-site
Exvo;application-site
Eyeball Chat;application-site
Eyejot;application-site
EZ-Files;application-site
ezHelp;application-site
eZmeeting;application-site
ezPeer;application-site
EZVIZ;application-site
F-Droid;application-site
F-Droid-download;application-site
F-Secure Anti-Virus;application-site
F-Secure Online Backup;application-site
Facebook;application-site
Facebook Apps;application-site
Facebook Business;application-site-category
Facebook Education;application-site-category
Facebook Entertainment;application-site-category
Facebook Friends & Family;application-site-category
Facebook Games;application-site-category
Facebook Groups;application-site
Facebook Lifestyle;application-site-category
Facebook Messenger;application-site
Facebook Messenger-download;application-site
Facebook Messenger-upload;application-site
Facebook Social Plugins;application-site
Facebook Sports;application-site-category
Facebook Touch;application-site
Facebook Utilities;application-site-category
Facebook Widgets;application-site-category
Facebook Widgets;application-site-category
Facebook-call-web;application-site
Facebook-chat;application-site
Facebook-code;application-site
Facebook-download;application-site
Facebook-file sharing;application-site
Facebook-live;application-site
Facebook-posting;application-site
Facebook-video;application-site
Facebook-video-upload;application-site
Faceparty;application-site
Faces;application-site
Facetime;application-site
factoryfiles;application-site
FactoryTalk RNA protocol;application-site
FactSet;application-site
Famiva;application-site
Famster;application-site
Famzam;application-site
FANGCrawl;application-site
Fanspot;application-site
Fanuc Focas Protocol;application-site
FarFinder;application-site
Fark;application-site
Faroe Islands IBAN;CpmiPatternDataType
Fashion;application-site-category
Fashion Fantasy;application-site
Fashionising.com;application-site
FASP Protocol;application-site
Fast;application-site
Fast Pitch;application-site
Fast Secure VPN;application-site
Fast-Files;application-site
Faster Downloader;application-site
FasterUpload;application-site
FastestP2P;application-site
FastFreeFileHosting;application-site
Fastmail;application-site
FastPencil;application-site
FastPictures.com;application-site
FastStunnel;application-site
FastViewer;application-site
FastViewer-web;application-site
fatfile;application-site
Fauxzilla;application-site
favorstarbot;application-site
Favorville;application-site
Favstar.fm;application-site
Faxobot;application-site
FBNet Protocol;application-site
FC;application-site
FC2;application-site
FC2-blog;application-site
FC2-blog-posting;application-site
FC2-video;application-site
FC2-video-upload;application-site
FCC Speed Test;application-site
FCIP (Fibre Channel over IP);application-site
FDA Drug Application Forms;CpmiGroupDataType
FDA Form 1571 - Application of a New Investigational Drug;CpmiTemplateBasedDataType
FDA Form 1572 - Investigator Statement;CpmiTemplateBasedDataType
FDA Form 3331 - Reporting of Drug Threats;CpmiTemplateBasedDataType
FDA Form 356h - Application of a New Drug;CpmiTemplateBasedDataType
FeaturedUsers;application-site
FedEx Express Tracking Number;CpmiPatternDataType
FedEx Ground Barcode;CpmiPatternDataType
feedalizr;application-site
FeedBlitz;application-site
Feedburner;application-site
FeedDemon;application-site
FeedDots;application-site
Feeder;application-site
FeedExplorer;application-site
FeedForAll;application-site
FeedGhost;application-site
FeedHub FeedDiscovery;application-site
FeedMyTorrents;application-site
FeedParser;application-site
FeedPopper;application-site
FeedReader;application-site
FeedThing;application-site
Feedtweeter;application-site
Feng Office;application-site
Fenopy.com;application-site
FERPA - Confidential Educational Records;CpmiCompoundDataType
Fetion;application-site
Fetion-audio-video;application-site
Fetion-file-transfer;application-site
Fetlife;application-site
FIBMGR;service-tcp
fidgt;application-site
Fiesta;application-site
FIFA Online 2;application-site
File Den;application-site
File Dropper;application-site
File Factory;application-site
File Factory-download;application-site
File Factory-upload;application-site
File Qube;application-site
File Savr;application-site
File Storage and Sharing;application-site-category
File Storage and Sharing;application-site-category
File Upload;application-site-category
FILE.am;application-site
File123.com;application-site
file2upload;application-site
FileApp;application-site
FileAve.com;application-site
FileCargo;application-site
FileCatalyst Direct;application-site
Filecloud.io;application-site
Filecloud.io-download;application-site
Filecloud.io-upload;application-site
FileCoast;application-site
FileCows;application-site
FileCram;application-site
FileCroc;application-site
FileDropper;application-site
Filedude;application-site
FileFlyer;application-site
FileFreak.com;application-site
FileFront;application-site
FileGenie;application-site
Fileguri;application-site
FILEHAM;application-site
FILEHAM-download;application-site
fileholding;application-site
filehon;application-site
filehon-download;application-site
FileHost;application-site
FileHound;application-site
Filei;application-site
Filemail;application-site
FileMaker Pro;application-site
FileMonster;application-site
FileMp3.org;application-site
FilePipe P2P;application-site
Filer.cx;application-site
Files to Share;application-site
Files Wire;application-site
Files.to;application-site
Files2u;application-site
Files2u-download;application-site
Files2u-upload;application-site
FilesAnywhere;application-site
FileSend;application-site
Filesend.to;application-site
FileServe;application-site
fileshift;application-site
FilesHost;application-site
FileSocial;application-site
FileSonic;application-site
Filesoup.co.uk;application-site
FilesOverMiles;application-site
Filespots;application-site
Filestack;application-site
Filestack-download;application-site
Filestack-upload;application-site
Filestube;application-site
Filetopia;application-site
FileTwt;application-site
FileUpYours.com;application-site
FileURLs;application-site
FileXoom;application-site
Filmaffinity;application-site
FilmCrave.com;application-site
Filttr;application-site
Financial Jargon;CpmiDictionaryDataType
Financial Report Terms;CpmiDictionaryDataType
Financial Report Terms - Unique;CpmiDictionaryDataType
Financial Reports;CpmiCompoundDataType
Financial Reports with Future Dates;CpmiPatternDataType
Financial Services;application-site-category
Financial Services;application-site-category
Financial Terms;CpmiDictionaryDataType
Finch;application-site
Find Internet TV;application-site
Find My Friends;application-site
Find My iPhone;application-site
FineVPN-services;application-site
finger;service-tcp
Finger protocol;application-site
Finland Bank Account Numbers;CpmiPatternDataType
Finland Business ID;CpmiPatternDataType
Finland Classification Terms;CpmiWordsDataType
Finland EU Data Protection Directive;CpmiCompoundDataType
Finland IBAN;CpmiPatternDataType
Finland Names and Surnames;CpmiCompoundDataType
Finland Personal Identity Code;CpmiPatternDataType
Finland Personal Information Headers;CpmiDictionaryDataType
Finland Personal Names;CpmiDictionaryDataType
Finland Phone Numbers;CpmiPatternDataType
Finland Surnames;CpmiDictionaryDataType
Finland VAT Number;CpmiPatternDataType
FIRE;application-site
Fire;application-site
FireAnt;application-site
Firebat;application-site
FireChat;application-site
Firedrive;application-site
Firefox;application-site
Firefox Feeds;application-site
Firefox-hello;application-site
Firefox-update;application-site
FirePhoenix;application-site
Fireshot Uploader;application-site
FirstClass;application-site
Fit Brains;application-site
fiverr;application-site
FIX protocol;application-site
FixMe.It;application-site
Fizzyshare;application-site
Flash Games Den;application-site
Flash Video Downloader;application-site
Flashdeli;application-site
FlashGet;application-site
flatlandbot;application-site
FlexNet Publisher;application-site
FlickCabin;application-site
Flickim;application-site
Flickr;application-site
Flickr Downloader;application-site
Flickr My Background;application-site
Flickr-upload;application-site
Fliiby;application-site
Fling;application-site
Flingr;application-site
Flipagram;application-site
FlipDrive;application-site
FlipDrive-download;application-site
FlipDrive-upload;application-site
Flipp;application-site
Fliptrack;application-site
Fliqz;application-site
Flixflux.co.uk;application-site
Flixster;application-site
Flixwagon;application-site
Flixwagon-broadcast;application-site
Flixwagon-download;application-site
Flixwagon-posting;application-site
Flixya;application-site
Flixya-video access;application-site
Flock O' Tweets;application-site
Florida Passions;application-site
Flowchart;application-site
FlowPlay;application-site
FluidSurveys-download;application-site
FluidSurveys-upload;application-site
Flumotion;application-site
Flusta;application-site
Flux;application-site
Fluxiom;application-site
FlyProxy;application-site
FlyUpload;application-site
FlyVPN;application-site
FMyLife;application-site
fnacJukebox;application-site
fnacJukebox-streaming;application-site
FOA;application-site
Foamee;application-site
Fogbugz;application-site
Folding at Home;application-site
Foldit;application-site
Foller.me;application-site
FollowSite Bot;application-site
Folx;application-site
FooCall;application-site
Foonz;application-site
FootballSuperstars.com;application-site
Footbo;application-site
FootyTweets;application-site
ForAll.pl-Crawler;application-site
Fore Score Golf Stats;application-site
formplus;application-site
FortiClient-update;application-site
Forward;application-site
Forwarded Confidential Email;CpmiWordsDataType
Fotki;application-site
Fotobounce;application-site
FotoFlexer;application-site
Fotolia;application-site
Fotolog;application-site
FotoMonster;application-site
FotoWeb;application-site
Foursquare;application-site
Foursquare-posting;application-site
FOX Protocol;application-site
Fox-streaming;application-site
Foxit Phantom;application-site
Foxit Reader;application-site
Foxy;application-site
Fqrouter;application-site
Fraced;application-site
Fragegg;application-site
France Classification Terms;CpmiWordsDataType
France EU Data Protection Directive;CpmiCompoundDataType
France IBAN;CpmiPatternDataType
France Names and Surnames;CpmiCompoundDataType
France Personal Information Headers;CpmiDictionaryDataType
France Personal Names;CpmiDictionaryDataType
France Phone Numbers;CpmiPatternDataType
France Social Security Number;CpmiPatternDataType
France Surnames;CpmiDictionaryDataType
France VAT Number;CpmiPatternDataType
Frappr;application-site
Freak2k;service-tcp
Freaky Creatures;application-site
Free;application-site
Free Download Manager;application-site
Free Internet TV;application-site
Free Live TV;application-site
Free Upload Share;application-site
Freebieproxy.com;application-site
FreeCast;application-site
Freedome;application-site
FreeeTV;application-site
FreeFullMovies;application-site
FreeGate;application-site
FreeIPTV Internet TV Player;application-site
Freeloader;application-site
Freemind Share;application-site
FreeMyBrowser;application-site
Freenet;application-site
FreePP;application-site
FreeTel-incoming;service-other
FreeTel-outgoing;service-group
FreeTel-outgoing-client;service-other
FreeTel-outgoing-server;service-udp
Freetorrent.fr;application-site
FreeToWatch TV;application-site
FreeTube;application-site
FreeWire;application-site
FreeZ Online TV;application-site
Freggers;application-site
Frelicbot;application-site
French Polynesia IBAN;CpmiPatternDataType
French Southern Territories IBAN;CpmiPatternDataType
Frenzoo;application-site
Fresbo World;application-site
Fresh Download;application-site
Fresh View;application-site
FreshBooks;application-site
Freshdesk;application-site
Freshsales;application-site
Freshservice;application-site
Friend Feed;application-site
FriendlyFavor;application-site
FriendOrFollow;application-site
FRIENDS AND MORE;application-site
Friendster;application-site
Friendster Widgets;application-site-category
Friendster Widgets;application-site-category
Friendstribe;application-site
Frigate;application-site
Friv;application-site
Front;application-site
FrootVPN;application-site
Fropper;application-site
FrostWire;application-site
FrozenWay;application-site
fs2you;application-site
FSPBot;application-site
ftp;service-tcp
FTP Protocol over HTTP;application-site
FTP Protocol-download;application-site
FTP Protocol-upload;application-site
ftp-bidir;service-tcp
ftp-pasv;service-tcp
ftp-port;service-tcp
Ftp4net;application-site
ftp_mapped;service-other
Fubar;application-site
FuFox;application-site
Fulltilt Poker;application-site
fumpr;application-site
Funshion;application-site
Furcadia;application-site
Furk;application-site
FurlBot;application-site
Furthurnet;application-site
Fusion Fall;application-site
Fusion-ware.com bot;application-site
FusionBot;application-site
FutureTweets;application-site
Fuze Meeting;application-site
Fuze Meeting-desktop-sharing;application-site
Fuze Meeting-file sharing;application-site
Fuzgo.com;application-site
Fuzzy Image Hosting;application-site
FW1;service-tcp
FW1_amon;service-tcp
FW1_clntauth;service-group
FW1_clntauth_http;service-tcp
FW1_clntauth_telnet;service-tcp
FW1_CPRID;service-tcp
FW1_cvp;service-tcp
FW1_ela;service-tcp
FW1_Encapsulation;service-other
FW1_ica_mgmt_tools;service-tcp
FW1_ica_pull;service-tcp
FW1_ica_push;service-tcp
FW1_ica_services;service-tcp
FW1_key;service-tcp
FW1_lea;service-tcp
FW1_load_agent;service-udp
FW1_log;service-tcp
FW1_mgmt;service-tcp
FW1_netso;service-tcp
FW1_omi;service-tcp
FW1_omi-sic;service-tcp
FW1_pslogon;service-tcp
FW1_pslogon_NG;service-tcp
FW1_sam;service-tcp
FW1_scv_keep_alive;service-udp
FW1_sds_logon;service-tcp
FW1_sds_logon_NG;service-tcp
FW1_snauth;service-tcp
FW1_snmp;service-udp
FW1_topo;service-tcp
FW1_uaa;service-tcp
FW1_ufp;service-tcp
FyberSpider;application-site
Fyrebug;application-site
G Cloud Backup;application-site
G-torrent.waw.pl;application-site
G3 Torrent;application-site
Gabble;application-site
Gabbly;application-site
Gabtastik;application-site
Gadu-Gadu;application-site
gagashare;application-site
Gaia Online;application-site
Gaisbot;application-site
Galacticcentral.org;application-site
GalaXseeds.com;application-site
GalaxyBot;application-site
Gamato.info;application-site
Gambit;application-site
Gambling;application-site-category
Gambling;application-site-category
Gambling Terms;CpmiDictionaryDataType
Gambolio;application-site
GameBalance.com;application-site
GameCurry;application-site
GameFudge;application-site
GameGround;application-site
GameGum;application-site
GamerDiction;application-site
gamerDNA;application-site
Games;application-site-category
Games;application-site-category
Games for Her By You;application-site
Games Only;application-site
Games Radar;application-site
games2go;application-site
GameSkoot;application-site
GameSpy;application-site
Gameular;application-site
GameXa;application-site
Gaming Passions;application-site
Gantter;application-site
Ganymed SSH;application-site
Garage Games;application-site
Garden Party World;application-site
Gardening Passions;application-site
Garena;application-site
GateCrasher;service-tcp
Gather;application-site
GatherPlace;application-site
GatherPlace-desktop sharing;application-site
Gawker;application-site
Gazup;application-site
Gbridge;application-site
GCN;application-site
GDB remote;application-site
GDBINDEXES File;CpmiPatternDataType
GDOI Identification Payload for TR61850/90/5;application-site
GDS-DB;application-site
GE.TT;application-site
GE.TT-download;application-site
GE.TT-upload;application-site
Gearman Protocol;application-site
gemiusbot;application-site
General;application-site-category
General Business Data Records;CpmiCompoundDataType
General Date - Month Names Format;CpmiPatternDataType
General Date - Standard Format;CpmiPatternDataType
General Dates - 20 or more;CpmiCompoundDataType
General Dates - 3 or more;CpmiCompoundDataType
General Device communication;application-site
General Personal Data Records;CpmiCompoundDataType
Geni.com;application-site
Genie;application-site
genieBot;application-site
Genoom;application-site
GentilBot;application-site
GeoBot;application-site
GeoChirp;application-site
GeoDB File;CpmiPatternDataType
GeoEdge;application-site
GeonaBot;application-site
geosign-crawler;application-site
Geotorrents.com;application-site
Germany Classification Terms;CpmiWordsDataType
Germany EU Data Protection Directive;CpmiCompoundDataType
Germany IBAN;CpmiPatternDataType
Germany Names and Surnames;CpmiCompoundDataType
Germany National Insurance Number;CpmiPatternDataType
Germany Personal Information Headers;CpmiDictionaryDataType
Germany Personal Names;CpmiDictionaryDataType
Germany Surnames;CpmiDictionaryDataType
Germany VAT Number;CpmiPatternDataType
Get Go;application-site
Get the Glass;application-site
getconnected365;application-site
GetItDone;application-site
GetJar;application-site
Getleft;application-site
GetPicturesList;application-site
GetPrivate;application-site
GetRight Download Manager;application-site
GetUpload;application-site
GeVeZe Instant LAN Messenger;application-site
GFI Backup;application-site
ggp;service-other
GibLink;application-site
Gibraltar IBAN;CpmiPatternDataType
GifBoom;application-site
GifBoom-upload;application-site
Gigabot;application-site
Gigaget;application-site
GigaPan;application-site
GigaPeta Uploader;application-site
GigaSize;application-site
GigaTribe;application-site
Gigaup;application-site
GigE Vision Control Protocol(GVCP);application-site
Gimme P2P;application-site
GingerCrawler;application-site
Ginxbot;application-site
Giphy;application-site
Girafabot;application-site
GirlGamer;application-site
Girlongirltorrents.com;application-site
GirlSense;application-site
git;application-site
git-upload;application-site
GitHub;application-site
GitHub-download;application-site
GitHub-editing;application-site
GitHub-posting;application-site
GitHub-upload;application-site
GitLab;application-site
GitLab-download;application-site
GitLab-upload;application-site
Gladinet Cloud Desktop;application-site
Glance;application-site
Glasscubes;application-site
GLBA - Personal Financial Information;CpmiCompoundDataType
glChat;application-site
Glide - Video Texting;application-site
Gliffy;application-site
Glip;application-site
Global Call;application-site
Global Instant Messenger;application-site
GlobalLiveTalk;application-site
Globalscape - EFT;application-site
GlobeNewswire;application-site
Globus-tracker.com;application-site
Glomera;application-site
Glympse;application-site
glype proxy;application-site
gmachina;application-site
Gmail;application-site
Gmail-chat;application-site
Gmail-drive;application-site
Gmail-enterprise;application-site
Gmail-file transfer;application-site
Gmail-file transfer-download;application-site
Gmail-file transfer-upload;application-site
Gmail-posting;application-site
GMX;application-site
Gnolia;application-site
Gnome Bittorrent;application-site
GNU-httptunnel;application-site
GnucleusLAN;application-site
GNUnet;application-site
GNUtella;service-group
Gnutella Protocol;application-site
GNUtella_rtr_TCP;service-tcp
GNUtella_rtr_UDP;service-udp
GNUtella_TCP;service-tcp
GNUtella_UDP;service-udp
Go GECO;application-site
Go!Zilla;application-site
GO-Global;application-site
GoAruna;application-site
GoDaddy;application-site
GoDaddy Training Hub;application-site
GoDownload;application-site
GOFORITBOT;application-site
Gogglebox TV;application-site
Gogobox;application-site
Gogoyoko;application-site
GOIM;application-site
Going;application-site
GoJiyo;application-site
goldcoastfriends;application-site
GolfLink;application-site
Golfshake.com;application-site
GolfStakes.com;application-site
GOM Player;application-site
Gom VPN;application-site
GoMeetNow;application-site
Good for Enterprise;application-site
GoodData;application-site
Goodreads;application-site
GoodSync;application-site
Google Accounts;application-site
Google Ads;application-site
Google Analytics;application-site
Google App Engine;application-site
Google App Engine-upload;application-site
Google Apps;application-site
Google Books;application-site
Google Cache;application-site
Google Calendar;application-site
Google Calendar Sync;application-site
Google Calendar-enterprise;application-site
Google Calendar-upload;application-site
Google Chrome;application-site
Google chrome frame;application-site
Google Chrome-update;application-site
Google Chrome-voice;application-site
Google Classroom;application-site
Google Cloud Platform;application-site
Google Cloud Platform-download;application-site
Google Cloud Platform-upload;application-site
Google Cloud Print;application-site
Google Data Saver;application-site
Google Desktop;application-site
Google Docs;application-site
Google Docs-download;application-site
Google Docs-editing;application-site
Google Docs-enterprise;application-site
Google Docs-file sharing;application-site
Google Docs-posting;application-site
Google Docs-upload;application-site
Google Drive-enterprise;application-site
Google Drive-mobile;application-site
Google Drive-mobile-download;application-site
Google Drive-mobile-upload;application-site
Google Drive-web;application-site
Google Drive-web-download;application-site
Google Drive-web-upload;application-site
Google Earth;application-site
